solr-1.node,1.1.1.1:8983_solr
coll3C_shard1_0_1_1_0_replica2,10.0M,6.7GB
coll3C_shard1_0_1_1_1_replica2,10.3M,7.2GB
coll3E_shard1_0_0_1_0_replica2,6.3M,5.8GB
coll3E_shard1_0_0_1_1_replica2,6.7M,5.9GB
solr-2.node,2.2.2.2:8983_solr
coll50_shard1_replica1,4.3M,2.4GB
coll51_shard1_replica1,6.1M,4.1GB
coll52_shard1_0_replica1,13.3M,10.0GB
coll52_shard1_1_replica1,13.3M,11.7GB
coll53_shard1_replica1,2.5M,1.6GB
coll54_shard1_replica1,13.6M,11.3GB
coll8_shard1_1_replica1,10.0M,8.1GB
coll55_shard1_replica1,10.3M,6.3GB
coll56_shard1_replica2,3.0M,2.4GB
coll57_shard1_replica2,7.1M,2.8GB
coll58_shard1_replica1,9.4M,6.2GB
collE_shard1_0_1_0_replica1,4.6M,3.0GB
collE_shard1_0_1_1_replica1,4.7M,3.2GB
collF_shard1_1_0_replica1,12.9M,9.4GB
collF_shard1_1_1_replica1,13.0M,8.8GB
coll59_shard1_replica2,2.3M,1.2GB
coll5A_shard1_replica2,14.1M,9.1GB
coll5B_shard1_replica2,3.1M,2.3GB
coll13_shard1_0_1_0_replica2,10.8M,4.6GB
coll5C_shard1_replica2,528K,423MB
coll15_shard1_0_0_1_0_0_replica1,5.6M,7.5GB
coll15_shard1_0_0_1_0_1_replica1,5.6M,7.2GB
coll15_shard1_0_0_1_1_0_replica1,5.4M,7.1GB
coll15_shard1_0_0_1_1_1_replica1,5.5M,7.2GB
coll16_shard1_1_0_replica1,1.3M,2.0GB
coll16_shard1_1_1_replica1,1.3M,2.0GB
coll17_shard1_0_1_0_replica1,8.3M,5.1GB
coll17_shard1_0_1_1_replica1,8.0M,4.9GB
coll5D_shard1_replica1,2.0M,1.1GB
coll5E_shard1_replica1,7.4M,4.7GB
coll5F_shard1_replica1,1.8M,1.8GB
coll60_shard1_replica1,1.1M,814MB
coll61_shard1_replica1,4.1M,3.7GB
coll62_shard1_replica2,5.3M,2.9GB
